Ref,Installed_quantity,Part,Specification,Model_or_source
P01,1,Base,3D print rigid nonmagnetic polymer,P01_base
P02,1,Block1 carriage,3D print rigid nonmagnetic polymer,P02_block1_carriage
P03,2,Carriage keepers,3D print rigid nonmagnetic polymer,P03_keeper_qty2
P04,1,Block2 sensor mount,3D print rigid nonmagnetic polymer,P04_block2_sensor_mount
P05,1,3 mm inner-face spacer,3D print; 1 and 6 mm alternatives included,P05_spacer_3mm
P06,2,Magnet retaining cups,3D print; 6.65 mm pocket / 5.80 mm aperture,P06_magnet_cup_qty2
P07,1,Return band (optional),"3D print TPU 95A, 0.8 mm thick",P07_TPU_return_band
P08,1,Nominal 5 mm datum gauge,3D print; calibrate actual contact separation,P08_5mm_reference_gauge
P09,4,Table feet,3D print; clearance for screw ends,P09_table_foot_qty4
H01,1,0-13 mm micrometer head,McMaster 19725A12 / Mitutoyo 148-504,https://www.mcmaster.com/products/micrometer-heads/manufacturer-model-number~148-504/
H02,2,M3 x 0.5 x 10 mm nylon screws,McMaster 96295A708; cassette foot,https://www.mcmaster.com/products/cheese-head-machine-screws/
H03,6,M3 x 0.5 x 12 mm nylon screws,McMaster 96295A709; sensor/support/cups,https://www.mcmaster.com/products/cheese-head-machine-screws/
H04,4,M3 x 0.5 x 20 mm nylon screws,McMaster 96295A712; keepers,https://www.mcmaster.com/products/cheese-head-machine-screws/
H05,12,M3 x 0.5 nylon hex nuts,McMaster 93800A400; AF 5.4 x 2.2 mm,https://www.mcmaster.com/products/nylon-machine-screw-nuts/
